Company Name,Job Title,Location,Job Posting Link,Date Applied,Salary,Receive Interview,Application Status,Follow-up Date,Referral / Contact Name,Notes,How Applied,Category,ATS Score,
Mercor,Technical Program Manager – Remote Role,,https://www.linkedin.com/jobs/view/4379292868/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_2_jobid_4379292868_ssid_1738446733_fmid_19ddgc~mm80ijt2~w1&refId=ogcPSvybWZukR51YFXAMfQ%3D%3D&trackingId=5t1stVfzLQWYv1PidgPJiw%3D%3D,,,No,,,,,LinkedIn Application,,,
Intelliswift SW,Project Manager,,https://ca.indeed.com/viewjob?jk=0eed241a81438b43&q=project+manager&l=Greater+Toronto+Area%2C+ON&tk=1jij3gsmh20aa000&from=ja&alid=68f91d99d479c11dce0e2b68&g1tAS=true&xpse=SoD267I3mWEldT0HsZ0LbzkdCdPP&xfps=7e6fa103-56a3-40f4-85d8-89b0a9305b34&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jij3gsmh20aa000&xkcb=SoC667M3mTPMcp0pJ50MbzkdCdPP,02-Mar-26,$60–$65 an hour,No,,,,,Indeed,,,
Avenue Code,Project Delivery,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4369563228&origin=JYMBII_IN_APP_NOTIFICATION&originToLandingJobPostings=4369563228%2C4372165244,,,No,,,,,LinkedIn Application,,,
McKesson,Technical Program Manager – AI/ML Initiatives,,https://www.linkedin.com/jobs/search-results/?currentJobId=4359923330&eBP=CwEAAAGctNb7LZfZB_OgNcyfDZBTEOy73YzMzJ305zzvvSKHKFXXAUreZyQpm1MuVviRPfWPHBmYnOf2CbETBv5nM1v2ddK10eKX89QicwFhTsIaWF3hdKueXup9OJkBXQgPCLnHjGik1VDQbxq5cy4NYr8LzBlXphd1_bwVmaxKsQIbI2lEI42hEDP3z2hJnJj75IjYZE3PSNAtGEGm_Jpda5si1T7HJmuXpoQoKIK5opBG-FY1Jbc3WUGhn9_dqmcktHkUNhM7ZYzPJFx4P_h-YrOFGUSy4rqjqYp6a6SSQIGnZDhNrBnzU99GLA-5nWc01oVRS1fKF2eobrNEmyfr42_zERsNC5PiNYdRAIQggp-J5zR4yn7uPuVCjBmylAS9zOFvf7mELhVFaFv4VSjn6KIeJSKxlCvOF6XympTIjohVjxHkNf04xC8hADJNdaxfNHnRBCho5RCAEkezlVf3Zyc65vfs_v8b_zzDcX0xklWUIyjaoALIsY-mPzwCnbbZyvJW3sd6M__PAjqrjVdrp6g_61JxMQ&refId=NyHnuN%2BoQm74ExRocXbXDg%3D%3D&trackingId=KeaJEbJk1ORLTGrRHXqzvA%3D%3D&keywords=Mckesson&origin=JOB_COLLECTION_PAGE_SEARCH_BUTTON,2013-03-26,113-189 K,No,,,,,LinkedIn Application,,,
MDA Space,Program Manager ,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4366339654&origin=JYMBII_IN_APP_NOTIFICATION&originToLandingJobPostings=4369563228%2C4372165244,03-May,100K,No,,,,,LinkedIn Application,,,
,Bilingual Opearation Specialist,,https://ca.indeed.com/viewjob?jk=f8cd9db885bc91fd&tk=1jiqacq68pejq800&from=jobi2a&advn=3993885771473438&adid=457106384&ad=-6NYlbfkN0BIC_5kcTbvtVm0sIRMvbKnENZ774lmUhEY4ff4HxBjcv7W3eStQcCpH4FvADk1q7BiuwdtdxzQ9Adu4Xygpt6BKZDVCny25UjEgR3mbmWUFqWRY61u8xKZM-aEbfE73WUJ-KvM5wdJNwHM_OaILGJ9heAeHAzLsvk5dk1FWrTslRg3-tCEmVWv-rFC_70UWjBG_E-uJaQ6kmMzJTVMsC5SOKiScAGIi2lU5z5wX6JU0yxiIw-IlEtO1NRwg8B8xXi9UoPgKEgenC9CqsUdLpfJvfX-uIfEZ04wZVw2PNPALut_DLWItV-Dfq1tCZv4mBO90nKN7g8vJwiBdRaSpFBLfNFeAao1OTAhwyNlqoRq6fxfk6JX05Wh2FI9ZBHHWafR9uxyB9IUZD4INLRdevYSP2xGAh3SGI65QJ6M1PnSsaaKayu_f918yh8X3JUjU6EIEBQlzpJ8JOXpR1EezRndC1CbofoI0ybqr7MsGmGtUnCkU6OyVaeOWsLaH9nKMQP6BpYnQyQd1S6RmgdY_aGQLblfFRmic5Waz7zSQAUVGEQ8LnmIpm1SLdbzDa4baS6VbkWDX4k5QPgJGjQ7OkD59iFMaEgqjM9r9FTutzmpQl8iej4xGg-P&sjdu=0ZFwD5rbjMRcHz87Kzx_gyk1MmyvsQ8tpUX1vBr5iHTG7EMbMZopjXAjkN9_vrANxqdld3ofSOibX8sIGCE8RjbDJaItF37bNOZmN0yhEPkEORfVThpj0OekXm-DEv7JstqWV8yy-vo1in3BbCej50CnEWfTg8kIfp1SchvSkG-CNiFJdVan5MV_Raf7tUZxi04hSW9JXr6cLT25syoSdn8Knx6vewkxBxb4g4uFUZcaABQbt3KSR3ne3HHiXNJO&acatk=1jiqertis2cs3002&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobmatch-en-CA_email&camk=UoKtGZLa3XKPMYdTYRKhiw%3D%3D&jrtk=5-cmh1-1-1jiqacp43rjdo802-f8cd9db885bc91fd&xkcb=SoAK6_M3mac8pdSGbZ0LbzkdCdPP&xpse=SoDp6_I3maVgabAMez0PbzkdCdPP&xfps=63309c48-7296-4492-ad17-31a80d8de38f,,,No,,,,,Indeed,,,
Banyan Software,AI Factory Program Manager,,https://www.linkedin.com/jobs/view/4381565456/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4381565456_ssid_15009695340_fmid_19ddgc~mmjswbkf~uq&refId=to2qr2TzyEXve3py21MYFg%3D%3D&trackingId=qlvLUMBmyviK5l4k3FdfSw%3D%3D,11/03/2026,190K,No,,,,,LinkedIn Application,,,
Talos Tech,AI Program Manager ,,https://www.linkedin.com/jobs/view/4381544348/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4381544348_ssid_15009695340_fmid_19ddgc~mmjswbkf~uq&refId=to2qr2TzyEXve3py21MYFg%3D%3D&trackingId=j0Rqjdv59Bj%2BtDoH%2FNi%2BUg%3D%3D,,,No,,,,,LinkedIn Application,,,
Bayer,Medical Operations Project Coordinator,,https://ca.indeed.com/viewjob?jk=f5025ad1eaeaf606&q=project+manager&l=Greater+Toronto+Area%2C+ON&tk=1jjfj1l8ujlrf801&from=ja&alid=68f91d99d479c11dce0e2b68&g1tAS=true&xpse=SoDE67I3mvjJQATb7h0LbzkdCdPP&xfps=ee300ebd-dce5-4121-9713-b68fa34d497d&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jjfj1l8ujlrf801&xkcb=SoDZ67M3mvuJFnUej50JbzkdCdPP,13-Mar,"$72,800–$109,200 a year",No,,,,,Indeed,,,
Huron ,AI Tech Team - Technical Project Manager (Sr Associate),,https://www.linkedin.com/jobs/view/4382726884/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4382726884_ssid_1675100344_fmid_19ddgc~mmo37vzi~mq&refId=U8g%2BbVWi1gpXPs%2B3cUw%2Byw%3D%3D&trackingId=3suS1pbZXSgBwEWY1uqpQQ%3D%3D,13-Mar,"$115,000 - $140,000 CAD.",No,,,,,LinkedIn Application,,,
Robert Half,Sr IT PM,,https://ca.indeed.com/viewjob?jk=07758af27314b968&from=apply-conf,13-Mar,"$90,000–$100,000 a year - Permanent",No,,,,,Indeed,,,
Downtown Automotive,Project Manager,,https://ca.indeed.com/viewjob?jk=9d150a9af16a1c4a&tk=1jjls82itpdqj801&from=jobi2a&advn=9610297450432053&adid=458510163&ad=-6NYlbfkN0Ah0xrNnc5w4su68sOLBf_73wSFYczKDBixG1LqlalodILG8vwCZ4SJXS2KF6s3M4hzJfQT7ONlzamrIYtSu64ZIB-rSrhK49LOkwJ8P59DU9d95PBOGdTdpuS3ClY0BQweKkxXYJJv9KSYHdjudNJBDH0lDPtj_MFgoCm_qCKPKQgyiJxg2SdWcG_P3jS1OGn8kGAudSZNG4DuSGxEjLycJXV7RHDKO-aimJzmjknw-YXH8sR__ILeEpWIPuVtGG82HyzAgt5hNSVF9iAfZUaTWAnXD7h6pUmBCtVIaP1d41fnsJ_YPMBDwhrn85XSCaq0qLIcZUDUPdx9o3CTzoyNMrV9R5-n9oXRjd_TPg1q48mfur-RC21P0ZunhEbdp-eyYj9ELn47StWb8mxMPABECcAxLeJwETGPyYVUVsxnNzx9W-sPSBewUn7fDCuV26Gs7TLQ7ieIzWD1ahpCx_rDMCOLkEW-MtS5pUhj9SJT2VRjsLlAW7Q6xnRG3LwNDcHcb1aFunfXDPIoft5uqhsNBvcOPPnenw4Pfn_SghyDK5JAILmRASsGDw4BTHs1_3oTK7iZchay015_OR0Fa8khFMYn2q9Q1vZctnIstq94FOLL9f3VPVFW&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=UoKtGZLa3XJ1wyWD4W35fA%3D%3D&jrtk=5-cmh1-1-1jjlqk36plqij802-9d150a9af16a1c4a&xkcb=SoDd6_M3m1wvgx1Lax0KbzkdCdPP&xpse=SoAc6_I3m2G0PvygNp0ObzkdCdPP&xfps=006a5a63-78dc-470c-ab54-3c6e50b302e6,POST CLOSED,"$105,000–$115,000 a year",No,,,,,Indeed,,,
Healthpro procurement services,Technical Delivery Manager (Software & Integration) (12-Month Contract),,https://ca.indeed.com/viewjob?jk=88d6c7bba6e206c9&tk=1jjls82itpdqj801&from=jobi2a&advn=5463719214469078&adid=420228365&ad=-6NYlbfkN0C0qEztfTge5_OYuhAG01VCV_p72QBdjT2UpYtMtCd5AxKjgqskAle0M4mwIoalJoR7OMogZoIihKOqQm_CNUncuABPnQSRmn0kPdAoJIuKDdwv7F3CbcSvmF7zhjWuQ0Z3tLMWopYkkvVefYWqJ9bO-lUDF67Brf5nfodEDzCW2I8AulJbHELzM6bw3rL_Cf5TKHe0QjqZscm8OIHH-EbwEJsk6qzhIHj4urm0_dgLNBn8zTQ5KAGEfNjUTp47dz90XKrrNaUVf9mjsVV5c-6_0JGuXsn7IL7_djcpX0ezc4gfsX2ztyei15tkpDvXzs7OIdeheHNcJ8HKymrOUB8wkoqrFvVImE0dmJaD8-k4pRdsC7lHZfQceZUSIysneb7OhAmWpFBQE5kQSabThoz91AjKwEsI_15hm8U1d1QxfojqmwqHshRtd5MlwFNCofDjMysJ-F1MmNx6UqdN71jtgcvl_Wlgn7HIX7kwbPO3CCnLAuAS7A-WIq_WRi43DOhIcCzEMcGSwGaUP-3ztbEZIvV9gux0coYGa8AIeYKOo6Yuys-yov2Nh0aUVoQPZw53HR4l50fZSE8hWq_DR9Wc7gmuP-nViSOpDx1dF2vFR7Pb4uodzIW_&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=4HOcmqOLYrBYnGa55TfOww%3D%3D&jrtk=5-cmh1-1-1jjlqk36plqij802-88d6c7bba6e206c9&xkcb=SoBs6_M3m1wvgw1Lax0bbzkdCdPP&xpse=SoCa6_I3m2Hp9-gH970PbzkdCdPP&xfps=970e4568-8c64-4766-aed6-61aeb4e7699f,,"$100,000–$130,000 a year - Full-time",No,,,,,Indeed,,,
Manulife,"Global AI Platforms, Program Manager",,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4383973477&origin=JYMBII_IN_APP_NOTIFICATION&originToLandingJobPostings=4383973477%2C4375005546,19-Mar,asked for 110 - 120K,No,,,,,LinkedIn Application,,,
Allie Tehcnial Solutions,Sr. Program/Project Manager,,https://ca.indeed.com/viewjob?jk=d704d03b1e256812&tk=1jjls82itpdqj801&from=jobi2a&advn=5212869027979365&adid=458610417&ad=-6NYlbfkN0AGgeqQIXkF_n2IVQ84stRU9Jjo17vkh_wxuINwV6-efuCEIZk1obryvaFOpAQRRdMvVsS4j_Bg3j-EY68GuWRtLDI1QODbNu5TWkAMPsdeRTkYlPlg2vIkT3NITJqo6GcPbJ5eGaWbBTX2lAppOGJU0BvsOePKcqwzZxn3L91n2eZnU1wwwQ_7EIwJ1nWiQPbPjzrJskydFjJwapQEGDSB5kXTWHXZDah56FD82cYoMmCfyvzT9dACi6GEA2zKSzkjkZOWHlLNwJKzgWA0sRFalHXWmiCX-ewAye-kFaVloLtjmRUu6BVu514VH2EFFaZ5pns66vSxgRqtE4Wx_MQLd8ql8KVJ5CHg_SeiscMl-PeeddZgzCaBiJyzAd9EtLvMeU4DF74QE39IK0eC3ibzHcxf093Qk_MvI6UwPRgAzSOiZfX8RgNLikAjIGpO8-sT4oXR9fdo56fkaWds_ngOKxueMxaY8v3y412BP4YIdxgt_apTCDfZwOJS59z4lBTb4NNsXuviyTtASdssDW7jxWY_xogjj29WBoesvlraY-DpDbleAygRUQNk2Vw9A0mWNRQOrc0CeFQcuodc-Kqaa42swpsK7IMxfOS97JO7kA%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=UoKtGZLa3XLoDhM-o4i4aA%3D%3D&jrtk=5-cmh1-1-1jjlqk36plqij802-d704d03b1e256812&xkcb=SoAn6_M3m1wvgwVLax0GbzkdCdPP&xpse=SoDI6_I3m2R1bmSgNp0NbzkdCdPP&xfps=91734b55-ba7c-4344-aed9-21847571a5ac,21-Mar,100  - 130k,No,,,,,Indeed,,,
Thermo Fisher Scientific,Program Manager,,https://ca.indeed.com/viewjob?jk=5cefccb3faebe810&q=project+manager&l=Greater+Toronto+Area%2C+ON&tk=1jjfj1l8ujlrf801&from=ja&alid=68f91d99d479c11dce0e2b68&g1tAS=true&xpse=SoBm67I3m2VP1nWEmB0LbzkdCdPP&xfps=43e3d222-ef0e-4ad5-ae0e-d98e97bb1928&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jjfj1l8ujlrf801&xkcb=SoA767M3mvuJFmUej50LbzkdCdPP,21-Mar,"$76,400–$114,575 a year - Full-time",No,,,,,Indeed,,,
New Era Electronics,Project Coordinator,,https://ca.indeed.com/viewjob?jk=b12e672b2571d005&tk=1jjq103v3jc1l801&from=jobi2a&advn=4828848935190877&adid=458828524&ad=-6NYlbfkN0BM7leGfx_znei9wDSQDU319l9vQWBlyrhO5DOFa1tGwQS13v5Zlg3_spE1JkRwtCMX9ZPyRYUmG7K-zvbFP5_llpW29Y-3xFz6XZcPLlQ5EwpLMMpaObiBFaYmHvMAR07RSIul8wOjBxi_jgtfTGtmvVfzUrRTAAEYfjtf0lGhPDQyPFgn9RcG0UTKeC6ug-BT67KaIxGXQpb_sK-7TbP1KWjiu2UmrUcah2S3NYgBBavaXBpfqlN8ZM8Wm6Chzo_SONqPieKiju9z6Nya44NOPEBCRbhHAg4EyeTsncadOcKSWq5rSNJ8Ujdldq5Pgdteiu3szelRI1WjlzC0TSm4Ci5kw53pCrlVd9mw8O7STdrnzwTBlTvndtMaLzNUM0DBVwuRj_g-Ncha8woFt_2IYONgwEx5BPgdXd-GHDWuNe870OhkuVk_lr-RSbZ9agf53L-pHuk5tLloqxRGPCjTx3zpztFHCZWwYDPGsG9MPZG2EcSPXgNeGzaqkooWF2BcdChtVfA78b5pApk3g4zdLRzgUZ4Q-3wcDjwfz1X074j7reTU0ipFsyOAiJ_oVGFbdg9YEGG2tQ%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobsourcer-en-CA_email&camk=UoKtGZLa3XLG82V-0qbNiA%3D%3D&xkcb=SoDE6_M3m6KPdq1LcR0LbzkdCdPP&xpse=SoBy6_I3m73-HoyNoB0PbzkdCdPP&xfps=e8613bcb-2504-487f-acf2-ffb2b8b82c1e,expired,,No,,,,,Indeed,,,
Wilson CTS,Senior Project Manager,,https://ca.indeed.com/viewjob?jk=9de4ca407598b1f9&q=project+manager&l=Greater+Toronto+Area%2C+ON&tk=1jjumdr8sgcab800&from=ja&advn=2415081623432048&adid=384609583&ad=-6NYlbfkN0ARTAizOW0T4oiE6Epdo0i-SPQERQ6fC7voScIS1kB12r_p2ZVmiPPGh6LiMNJIqwZNa2ybECOAwOdRgnZa0_uUCwDwvmJLLeccPQUEAgnyWfKx-vth0ZfPbMz_liNiWXpSN2eXwA9kiMrLdG9VfAr6uP6WtCHycV7jiCVs6PekTaLrqFmsgH3stQpnr6x4xjKOnhLK9AdtaXteEIEYf9Qa4-ZMOT2z_VMV9YgM42ZLN9r1d6uBgjELF7wc51etwhGPl4eODzQ6m91DtXwi2NtMOFk0DqfzKi1S0GvypDUtLwruRcfqOdDSA97sGuUO3akGKxu-pqr9ROvo7I6KY44FVu4VUDnWhgQCcowIqLPeqQVSaE9UpJ-mzr2ZtVraIUxIjB0yRp8FVLncYxcME2Ytdt_1K4_oA1bycoBj6Q7aQMpUXCo1K3FXT-XjEJ5L_9CbOyf3ps5syJAFHoyzaN4hwN1HBFSxJ3fZXBgHsbCv3SGsl62JD1LQosS2YAlC3LwX-YBojK-O6oDnwpSrjSz--lKWZYeWI9CNpbkBsNV3yg_wzqXvnUbDpDnPinwS9FQ%3D&alid=68f91d99d479c11dce0e2b68&pub=4a1b367933fd867b19b072952f68dceb&camk=xqnMBGaf-K9eQIXMkuO9mw%3D%3D&xkcb=SoAh6_M3m-k4p70zUB0FbzkdCdPP&xpse=SoCK6_I3m_fFxHgH9b0PbzkdCdPP&xfps=c607545d-0599-455a-9997-03250f7eb9f5&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails,expired,,No,,,,,Indeed,,,
Scribd,"Senior Manager, Technical Program Management",,https://ca.indeed.com/viewjob?jk=6999f72163169551&tk=1jka9k72iphju801&from=jobi2a_jobmatch-reactivation-en-CA_email&rjptk=1jka9ajlqpd1c802&xpse=SoDa67I3lMWuQ3xbpp0LbzkdCdPP&xfps=8762b643-10ff-4b89-ac40-4b25e6afc1c3&xkcb=SoBx67M3lKbeyd7L5R0DbzkdCdPP,31-Mar,"$159,000 CAD to $203,000 CAD ",No,,,,,Indeed,,49 -85,"Product, Design, & Analytics"
Manulife,AI Delivery Lead,,,06-Mar-26,,Yes,Hiring Manager,,,,Recruiter,,,
Porter Engineered Systems,Program Manager - Automotive Programs,,https://ca.indeed.com/viewjob?jk=54be85c83795ffdd&tk=1jkkod4v2ga6j802&from=jobi2a&advn=1489586110558850&adid=454017295&ad=-6NYlbfkN0AnSHYKgAIgb75mINW2-R6Ja5v_lOrf4msW-9ipmDALbTdSq1gx29LDJ03tK20EnE-U7FumTPcqDVxaFx1UhDp4wvEfrOQmjQnu87j626Tj9e-E7-kL0yw65hT9yoNmKSOiNc7kFDO0SwFmLYn8gv2Nfhc4gJJkQXX7CCZEVjL4hfdpPA85Yksv00r8dWu4CsRJyXxNeQtgZTOY-LZfaTYzn0xbXP60hNgyzZ1kLMQsHsSxLNZYCZlcQtF2H3bdQSpsDpxI0Ddg_Hr9ilbqABmdP-TzLMIsNkc8xaVecf_JlDvMEQZNrrBvzmXtmLUxAlxi2-NvNR05uZegClkSmr6dO6BS46CkRhwqMW_P9ruka7m5_3CdP2oGEtqzdyOAaDVYC5_Pp5DVx1L1JJKqNfi64myfBVxidPdFn6EhWH3kxtRW5PIgWFq-8eY10AK-FRDYW2O0fQ7wyDACs1SOTOyxx0avY_fH-rTRT77kFgg29I1glituVGvKIgC7MeszBzDfGXMRY2anR3kLQFAExufZ-TDs6-ZhgZhhtgIH3Opkr1zB527IctJjAaO1SPec1b4LxzYzXyuE5ZM_3QU2R12d8HDeKJsOwO7e6u51q0mjGfZjvVCMcSe7&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobmatch-en-CA_email&camk=UoKtGZLa3XKTkeVDeZkfYw%3D%3D&jrtk=5-cmh1-1-1jkkod3akkq3u805-54be85c83795ffdd&xkcb=SoD76_M3lU47LP3cSB07bzkdCdPP&xpse=SoD26_I3lU_zdNygCp0PbzkdCdPP&xfps=a2af15d6-4c9f-452a-ade6-b4be3a559f22,28-Mar,,No,,,,,Indeed,,95,
Ricoh Canada,Bilingual (French and English) Project Manager (6-months Contract),,https://ca.indeed.com/viewjob?jk=8249fc24c63e3dfd&tk=1jkouedohhgj7801&from=jobi2a&advn=8167550143120970&adid=419717535&ad=-6NYlbfkN0C2YDp5k8L_L27uxASQPeAU0BnfQn4R4YScuVAlX7x9UnSjgpbyXBQpkqVPv41BaVO3MAC_1Tl-HBsr4AM1v_wb8Ns8c0CgX-j9IA-BLpcpUaLmqbBFpYxs2lfhveQnO-ZA6WMNwzaH5yhquvXDMAHp4jBToabldCWqhCYFNLD6b6Qeqm3ps7MPt4i1NF8Fw2Y9Qwb24fLJAxBJ8OCj_asQelhAX2S5TWZh4qSKOdXB0qly-PZgR9lCqDjrKXZLeUVBIXsIz3aUxZWTATe0bvQ7Z9UgNdojT1t-PMH6unOU1nR1gMMUZqtZ7FwJR_-hxRexNEZ4Ng-W2i3GprWmGzU57fsME43Pgc3YmzLvUts6Z3714SFpmfSsdb8lxwwgxQ6ZWTyNYRxBLCExJkENBctwBF3W3nADc3WfTp34zEc6y9IwRuDUmjw02ki0dZu8SrwQfsXLVHXVos2oDQJXAcqqbkkIkyBMTX8sraFizKezm9DRsDCoRDTXHgTTLLMtqL42kW2XnZBRtMce_P5kgiZyvnUM5oyz3ZD-BnZy8kq1ViQZ2LClrEOhgPU_TE6kgYz1Lc1Vi5BI_-Mc2J7Nmvia&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobsourcer-en-CA_email&camk=f416UQcMBpBZ5K6EkbK6Qg%3D%3D&xkcb=SoBf6_M3lY02PRx-9p1dbzkdCdPP&xpse=SoDt6_I3lZZH-KSJdJ0PbzkdCdPP&xfps=86acc380-8734-4fd9-b966-5b5ffd12d365,28-Mar,$50- 60 ( 6 month contract),Yes,,,,,Indeed,,68 -83,
Fidelity Canada,Project Manager,,https://www.linkedin.com/jobs/view/4351296062/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4351296062_ssid_1738446733_fmid_19ddgc~mnbwk2z6~8m&refId=vt%2FhhV8vz2vdVX0OOmVayQ%3D%3D&trackingId=mBOxNYqP4PYd9cpulp7Lcg%3D%3D,31-Mar,$ 95 - $110,No,,,,,LinkedIn Application,,82 -100,"Over 100 people applied, applied after 2 days"
Suncor Energy,Project Manager,,https://ca.indeed.com/viewjob?jk=14168e194d71b53d&tk=1jksbjs0mgotv801&from=jobi2a&advn=3010207902921138&adid=459283428&ad=-6NYlbfkN0B5sCY929n8K2Ne3lcS12YtGtvdOaPzCKNZwIFGd5gmGp6rT5GV8kbYDnJM0rva-rSjdlSYmocsKffoWBcY0L8irVGmwigM_d-P79LYHqyC_Iugy3RgzgJxC761D_cTB3gxvsIGSCMXEWiAQLL52Z_Xdyg7ucAxd0VO9rLpg_DNLUo11OWUqV03rKJMKH3XRvtLoDYHIANSK39EaHpnNbHDUTP4KvlK9MnoDoazBRwDiORlpi3iQhhQjjf2YfrsFIRH3MQQNpPOrcq6vwV8Bq1_SjCDqU1MVB_mKB9mm7pMurirzqRbzVY1NH1ECKO6cdYuR5erJweBsRxW89JYbfZNWioDPud28JxUw8DHh5f-evCQQGRgJzEtctgkivjB-R3YeQTiml8eBaVkCsBhO-kyzlEmbUK8uefqamLq_UlHsVRjJQqRMeCCAh3on3sMntmvEQdH8Egdj5lBcHUJVy2vD74CiiQfSx6t67G8-SZynrmxuA3XQJeJw1wLQdXQNRSJfuz7wBJDQlM7_4PEJBju2q7b2jGASoif5vs20U5e5h5hhXPqn-TivLjJIXL6jhUsh1VGtNx1Dwd0gBwt6zAP05gkCd77-MfDtZhVHfm8TQ%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=UoKtGZLa3XLUUUQLXTr4fQ%3D%3D&jrtk=5-cmh1-1-1jksbjqoomu7r801-14168e194d71b53d&xkcb=SoBC6_M3lcfAX5xl5B0MbzkdCdPP&xpse=SoBl6_I3ldOAsQ3Yox0PbzkdCdPP&xfps=828ccafd-8a50-4901-aeab-001b149b04e5,30-Mar,"Pay: $55,000.00-$138,000.00 per year",No,,,,,Indeed,,,
Deloitte,AI Project Manager,,https://www.linkedin.com/jobs/view/4387692145/,expired,,No,,,,,LinkedIn Application,,,
Enbridge Continent,IT Project Manager,,https://ca.indeed.com/viewjob?jk=968c652283396ec9&q=project+manager&l=Greater+Toronto+Area%2C+ON&tk=1jktkqnt720h102m&from=ja&alid=68f91d99d479c11dce0e2b68&g1tAS=true&xpse=SoBR67I3litBND3zap0LbzkdCdPP&xfps=51c006f5-c9bc-47aa-bee4-e464bd07e87f&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jktkqnt720h102m&xkcb=SoCU67M3ldhkz3BZnD0PbzkdCdPP,2026-03-31,contract,No,,,,,Indeed,,76 - 97,
City of Toronto,Project Manager,,https://www.linkedin.com/jobs/search/?currentJobId=4390956358&f_C=163087&originToLandingJobPostings=4390956358%2C4378829860%2C4384250921%2C4387949764&trk=d_flagship3_company,03/04/2026,,No,,,,,LinkedIn Application,,66 -83,
Nets International,Project Manager,,https://ca.indeed.com/viewjob?jk=162130bc2196f595&q=project+manager&l=Greater+Toronto+Area%2C+ON&tk=1jjkncr7vjlrf800&from=ja&alid=68f91d99d479c11dce0e2b68&g1tAS=true&xpse=SoDt67I3lrDN4nAcfr0LbzkdCdPP&xfps=52ee5e80-4fa5-4a9e-bd86-4ceff4589bff&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jjkncr7vjlrf800&xkcb=SoCc67M3m0m8pRWB3x0ObzkdCdPP,04-Apr,,No,,,,,Indeed,,62 -89,
Hour Consulting,Digital PM,,https://ca.indeed.com/viewjob?jk=70b3a7205e5daa13&tk=1jlggb0oqpf68800&from=jobi2a&advn=2405934803335092&adid=460079528&ad=-6NYlbfkN0BH2NOGd_pO0-K6GCTAGMnPBmbZ89-jWNS2Aiy_xmFVedhXTe2zHo5bgC1Rk9rteNH_AKGqsz_47OjnStyL5L7CL1um-XkdcPwvAYxjmccEaRTIZHmxATOwwmmFaMrFIfLfC7xYqZGLd9SwPaQKCLe1WPXmnoJSEVAb1U2RK9Gv_yc9HP55-qPDIymaJSTrzoyTVtn8wiLABpMTOdNmWq1vgvv6-ih-xXqsZf13lS-Dg8ewFxeZC5wr1SQcQ5XWW8Gsrd1r4UmhL8Se74nnlf2-kQ_FJ6BLgLKEap4alybCsGjFQLKgHTFIc8NuyxfLclEFgH5iQoAoRtes6ga0F-dpUIyq8UxkTT3VbjPj3dhxC9fExF_itSt2z-zYL6HYDVVXaMAe6yeFZ6NaV_w9uwJAhJYy_POOVTTWgbFp1evOr2cKbQoYfCL9TJRJQ4PiLWWQx_tNIXzpqFThHKjCMapa2S5b3eoqSp87UUvUKWZFrQ9Q1fXG_TvUVcurRAz7YcjX1z_J0AXpCk9FGwSGXkfYtw-XRgGyYSvZf0RFmhy1nv5BRxy3c7Am0iAz4-ZQ6fPdW6e-ZZTwJQ%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobsourcer-en-CA_email&camk=C3EPSzFlQw_b0ldBkPo2RQ%3D%3D&xkcb=SoDQ6_M3lwojmhWPWp0zbzkdCdPP&xpse=SoAb6_I3l1vMtGSDpZ0NbzkdCdPP&xfps=7f98fd7d-05d2-4d69-a100-5d873be9a3f8,,$ 95 - 115,No,,,,,Indeed,,,
